HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
0.992795,-0.008645,-0.005566,0.035099,-0.006379,0.925132,0.016616,-0.013367,0.989152,2.005794,0.011615,0.058178,0.032832,0.005525,0.963084,-0.050733,0.012317,0.565554,1.002083,0.994684,1.026589,0.927323,-0.015614,0.024518,0.04367,-0.012031,0.01883,1.012411,1.039116,1.444339,1.028413,-0.075726,-0.130997,-0.030345,0.954209,2.043801,1.033213
-0.060954,1.042368,0.94989,-0.004312,0.985305,0.005721,1.040932,0.031921,2.017494,2.032497,0.023925,1.968651,-0.035869,-0.023498,1.024966,0.987494,0.116788,0.459035,0.945056,1.038424,2.071092,1.025285,0.041791,0.071317,-0.004701,0.928852,-0.026604,1.047645,0.427816,0.001677,0.512662,0.48422,1.036182,0.029039,1.11607,1.030998,0.96953
-0.02809,0.958421,1.047614,-0.028342,0.996487,0.037465,0.963827,-0.014683,0.907936,0.945876,0.971613,0.020788,0.059675,-0.000923,1.013068,1.508398,0.054237,0.044668,1.013685,-0.050547,2.045169,1.019052,0.061347,0.998505,0.097655,-0.017944,0.079653,1.005756,0.974187,-0.056422,0.492448,1.571166,2.040819,1.034444,1.881206,1.035548,1.027793
-0.027496,0.968631,0.999884,0.086244,0.947245,-0.02139,1.068089,-0.022308,-0.018213,1.004889,-0.062064,1.010997,0.939519,0.04426,2.000159,0.114172,0.014042,1.068284,0.934837,1.993893,2.016157,1.087286,-0.084046,1.049531,0.029568,0.576677,0.035619,1.002604,-0.026082,0.437591,0.509771,-0.009585,0.101013,0.969449,2.01602,0.92155,-0.019773
0.013057,1.041198,1.072405,-0.002207,0.944138,0.022893,1.025849,0.024583,-0.035014,0.056669,0.004395,1.034991,0.063704,0.030464,1.014326,1.60764,0.012185,-0.014798,1.005598,2.074138,2.005936,1.025969,0.059787,0.974357,-0.086328,0.514971,0.011487,0.969599,1.543554,1.530378,-0.04975,0.525911,0.990195,-0.074151,1.022648,0.997739,-0.037264
0.026147,1.024405,1.971123,1.020018,2.050753,-0.035633,0.019045,0.000138,0.113301,-0.093115,0.034764,-0.015312,-0.00501,0.095079,-0.000429,1.612047,-0.022107,0.017526,0.975458,0.965466,1.003124,0.985871,0.010125,0.894749,0.100123,1.49165,0.087145,0.949644,0.514627,0.158247,0.456514,0.425235,0.972675,0.023624,1.034667,1.064518,-0.012851
-0.080113,0.978249,1.062011,0.023283,0.902153,-0.001753,1.069908,0.106327,2.028084,1.015465,-0.06201,0.957838,0.002346,0.02516,2.029009,-0.02391,-0.057597,0.461111,0.942151,2.03217,-0.115614,0.983336,0.022494,1.076101,0.003565,1.050064,-0.01995,0.96278,0.96628,0.576367,0.049711,0.52437,2.166513,0.998383,1.031017,1.01538,0.988906
0.115809,1.07533,0.930026,-0.019992,1.021417,0.039159,0.932578,-0.112778,-0.095318,1.996444,-0.00516,2.017261,-0.038484,-0.061212,-0.101152,0.016459,0.018503,0.04965,1.03954,0.990464,2.067463,0.993182,-0.033042,-0.026029,1.970759,0.891713,1.007816,1.012494,0.481887,0.964308,1.01859,0.085844,0.001913,-0.025382,0.970428,0.996512,0.936762
-0.006263,1.003059,1.092234,0.047174,1.051701,-0.035647,1.033496,-0.056969,1.015598,2.020937,-0.03832,1.099969,0.028369,-0.095136,0.027643,-0.020371,6.9e-05,0.523288,1.019527,0.898042,-0.057916,1.038631,0.06506,1.095158,0.090158,-0.102777,1.038474,0.904185,0.58068,1.012667,0.442942,0.100495,1.032199,0.905443,2.014673,0.963443,2.005565
-0.02326,1.068675,0.928836,0.01587,1.090709,-0.041348,1.010532,0.0101,-0.034485,1.032395,0.004853,-0.047188,0.088101,0.039581,0.991645,0.968166,-0.039218,0.561547,0.992676,1.022972,0.990777,0.03082,-0.005799,0.038193,0.990839,1.041479,0.033619,0.99417,1.457011,-0.047006,-0.037037,0.450776,1.04329,-0.00233,1.078505,1.113966,1.001211
-0.077401,0.980927,0.996233,-0.074422,0.987475,0.014347,0.977029,-0.038421,1.962062,1.089334,-0.007982,1.958503,0.981355,0.047717,0.965766,1.024092,0.036394,1.037456,1.069985,0.972476,1.056637,0.960357,-0.019827,0.059804,2.041119,1.000105,-0.059571,1.028083,1.468481,0.453806,0.967593,0.012325,1.893948,0.018038,1.008695,0.970774,1.051846
0.030572,0.969686,0.966499,0.034758,0.924196,-0.016631,0.968448,0.003494,0.010556,1.001839,0.056742,2.011403,-0.01575,-0.060543,2.036092,0.026407,0.07254,0.462627,0.001321,-0.002935,-0.004381,1.00052,-0.085727,0.041249,0.03266,1.556524,0.112479,0.984052,-0.001807,1.500489,1.097109,0.413439,0.024288,-0.073542,0.870921,0.898958,0.930912
0.053451,0.956582,0.988627,-0.058176,1.030548,-0.055098,1.065883,-0.049655,0.961759,2.006137,0.001236,2.071235,0.00602,-0.060392,0.971983,1.471361,0.036252,1.51919,0.99403,1.04348,-0.026425,0.993188,0.009038,1.076409,-0.004927,1.48246,-0.052292,1.034303,0.970618,0.517184,1.40492,0.552159,1.933403,-0.038867,1.052929,0.933276,0.996027
0.003713,0.950072,1.067147,0.074939,0.901419,-0.07245,1.040412,-0.065151,0.980568,0.006478,0.034593,0.988837,0.004761,-0.038837,2.064618,0.975234,0.016987,0.974418,1.005316,-0.008408,0.991877,-0.050689,0.039821,0.070702,0.012157,1.036617,0.041903,1.046399,1.515168,1.510613,1.5432,0.503442,0.951304,1.001192,1.905579,0.999705,2.020669
0.061799,1.007564,1.046407,-2.7e-05,0.948826,-0.070569,0.951513,-0.068307,0.031685,-0.010381,0.028516,0.003672,0.052202,0.05301,1.967733,0.486284,-0.026641,0.918934,1.033761,0.05944,1.999679,0.97534,0.054545,-0.117248,0.008874,0.507164,-0.028543,1.069579,0.548537,1.486942,-0.004335,-0.019401,-0.025606,0.93459,2.068997,2.0514,1.039908
-0.054717,1.104042,1.099008,0.009403,0.954789,-0.043322,1.020927,-0.045651,-0.001711,2.054432,-0.075341,2.100286,0.078335,-0.061854,-0.070682,0.985829,-0.051557,-0.013186,0.870941,0.988565,2.090143,0.94417,-0.013653,0.92552,2.031912,-0.011266,0.097037,0.010342,0.981391,1.527514,-0.025311,0.933035,2.015097,-0.008743,1.008316,1.018773,1.974484
0.021079,2.086885,1.94461,1.086871,1.98786,-0.038331,1.121361,0.007751,1.06852,1.04088,-0.08403,1.006041,-0.026266,-0.06709,-0.088586,1.005115,0.029513,0.019533,0.984709,-0.039926,0.950657,0.972242,-0.051653,-0.010164,-0.001144,-0.044799,-0.011603,0.961984,0.999776,0.525354,1.008906,0.523608,0.917399,-0.018935,1.013837,1.032058,0.9201
0.007959,1.060321,0.991069,-0.004738,1.022523,0.012356,2.033732,0.003621,0.007625,0.960878,-0.008522,0.062656,-0.010208,-0.008428,0.975425,1.039359,-0.042734,0.545525,-0.046849,1.947111,0.010297,1.006509,0.014878,1.053127,-0.020625,1.02215,-0.045491,1.062958,0.531623,0.526826,0.509394,1.46072,0.983631,0.025089,0.999041,2.006187,-0.067991
0.009055,0.965404,1.945833,0.992266,1.907175,0.034928,1.042601,-0.002672,1.950311,0.952732,-0.007556,-0.121187,0.009024,0.033222,1.984405,0.47528,0.009098,1.017532,1.054708,1.00092,0.965512,0.976937,0.009097,1.07781,-0.016014,0.947374,-0.043505,0.895183,1.51649,1.431934,0.438325,-0.098801,1.944101,0.028421,0.934432,0.912518,0.008913
-0.017059,1.02161,0.037028,-0.000425,0.935112,-0.00619,1.025013,-0.029149,-0.071873,0.055131,0.979238,0.979538,0.000798,0.051524,2.013181,0.983339,0.034107,0.607351,1.069389,0.033644,-0.056114,1.187603,-0.059933,0.98141,-0.034994,1.081345,0.021012,0.928644,0.513379,1.027345,-0.015924,0.438991,1.963748,-0.021842,1.001137,0.974005,1.036761
-0.047497,1.913431,1.96303,1.067445,1.971342,0.11704,1.024574,-0.058221,0.958286,1.012169,-0.058882,0.118729,-0.049545,0.034047,1.073006,0.99454,-0.049793,0.986347,0.018111,1.043788,1.002836,0.929989,0.002116,0.966332,-0.109162,0.465122,-0.071623,1.029343,0.097208,1.092938,1.47134,1.47663,0.034439,0.053064,0.979063,0.992868,1.110346
-0.005373,0.975734,1.005996,0.028985,0.948918,-0.01242,0.941682,-0.013913,2.093846,1.037086,-0.004627,1.953344,-0.01557,0.052537,1.971916,0.572521,-0.068682,1.485498,1.087138,1.899608,0.059421,0.907431,-0.004504,-0.008627,0.041215,1.342273,-0.09589,1.971699,0.001845,-0.044661,1.488957,-0.059309,-0.020064,-0.042338,1.012201,1.029071,2.071647
-0.032821,0.9841,1.002387,-0.014746,0.9974,-0.078109,1.018588,-0.04576,0.952152,1.920594,0.05805,0.99297,0.057475,0.013615,1.914832,1.445815,0.037897,-0.038284,0.945483,0.991031,0.991152,0.949407,-0.016307,-0.023925,-0.129499,1.525133,-0.040569,1.065222,1.442494,0.92102,1.059381,1.420747,-0.031809,0.029867,0.983518,0.917226,1.009402
-0.009716,1.064193,1.029432,0.151786,0.917705,-0.001084,1.946667,0.057738,2.041092,1.037702,-0.038867,-0.037258,-0.101484,0.085475,0.025411,1.486957,0.046676,0.537546,1.048763,1.918823,-0.035692,1.009772,0.017771,0.047862,1.949568,1.00636,0.110268,1.034596,1.543528,1.499041,1.538381,1.090199,1.005332,0.061199,0.956243,0.029505,0.045211
-0.0376,0.054906,-0.033762,-0.040262,-6e-05,0.096599,1.015458,0.046789,0.96341,1.003875,-0.058828,1.971445,0.041782,-0.00192,0.072565,0.489879,-0.009897,1.563834,0.967569,-0.075988,2.065064,1.020709,-0.10826,1.002226,-0.020189,1.087242,-0.03645,0.970962,1.45448,-0.052703,0.464975,1.428204,1.94844,-0.080329,0.925136,0.922016,0.973942
-0.034184,0.938676,1.023914,-0.002404,0.978401,-0.023199,1.079644,0.011991,0.023769,-0.129302,-0.032687,1.89145,-0.02131,0.018666,-0.033715,1.02593,-0.051137,0.02879,0.92232,1.986916,2.02099,2.026796,-0.006363,0.096986,-0.020721,0.47745,-0.137975,1.088447,0.98155,-0.058801,1.566045,1.061775,0.005416,-0.071746,1.020949,0.96893,1.941461
0.052169,0.89337,1.028358,0.022968,1.102551,0.016259,0.897078,-0.041806,1.003233,0.017778,0.049041,1.902016,0.983503,0.048493,2.077198,0.093051,-0.019511,0.55488,1.085586,1.059903,2.036184,1.04139,-0.039494,0.927638,0.049142,0.982647,-0.001407,0.971064,1.480355,1.011637,1.448907,1.003425,0.012303,-0.003868,0.962819,1.039331,0.093632
-0.030062,1.061723,1.044463,-0.132663,0.96194,-0.031792,1.039089,0.009424,2.02372,1.031814,-0.044946,1.962673,0.938856,-0.008514,0.994045,1.50856,-0.036365,1.545326,1.045856,0.077326,1.035565,1.009276,0.033621,1.030488,-0.032591,1.064469,0.085926,1.098848,0.001761,0.516214,0.520818,1.499873,2.030964,0.993941,1.990311,1.087949,1.008236
0.003351,1.044101,1.007517,0.014581,0.996822,-0.061021,1.998451,-0.056844,0.010508,1.940928,0.045835,0.037462,0.014021,-0.005007,1.020815,0.90175,-0.054841,0.492563,1.017263,-0.00397,-0.050231,2.006672,-0.022685,-0.05343,2.016475,0.489501,0.059824,1.033277,1.036734,0.016083,0.957741,0.453219,1.926442,0.143951,0.946028,1.989508,0.981981
-0.014055,1.970797,1.906583,0.95009,1.930467,-0.006339,0.96579,-0.034359,0.010794,1.970861,0.046605,0.980691,1.011258,-0.066265,2.032844,-0.020259,0.020438,1.5165,0.991328,1.010872,0.980735,1.067305,0.046714,1.024125,-0.059007,-0.054965,-0.033193,0.98775,0.522401,0.455173,0.058854,1.50018,1.899361,-0.023766,0.870741,-0.037586,1.972544
-0.030521,0.983737,0.980295,-0.029687,1.075125,0.060745,0.942908,0.062695,0.918932,1.959269,0.07626,1.888022,0.028739,-0.062675,1.9928,-0.00901,0.08486,0.45947,0.996549,0.031351,-0.012589,0.958897,-0.00296,1.004676,0.044203,0.452847,-0.022457,1.016147,0.991642,-0.009264,1.49915,-0.034792,-0.039985,0.022037,0.945245,1.058269,0.010865
-0.063827,1.014151,1.008364,0.038108,1.057942,-0.018321,0.964612,-0.030299,0.950946,-0.037322,0.014225,2.000763,-0.024568,-0.036913,0.017394,0.97492,-0.052008,-0.007584,0.986775,0.946498,1.041359,1.042301,0.002045,0.006552,0.026365,0.498454,0.044565,1.0828,0.504025,1.522013,1.043673,-0.016902,-0.056415,0.0453,0.921562,1.089442,1.043522
0.009385,1.002555,1.087568,0.952689,0.94199,-0.029907,0.98691,0.949677,0.007693,1.006797,-0.040693,0.080153,-0.069604,-0.063836,1.018806,0.989626,0.020886,1.469051,0.948333,1.967723,-0.03418,1.02625,-0.023998,1.038072,0.029404,0.05203,0.045036,1.039218,0.038493,0.474165,0.986906,1.408494,2.014588,-0.033688,1.020077,1.026374,0.932395
-0.050692,0.982533,0.97412,0.008351,0.942229,0.002359,0.915576,-0.107756,0.035833,-0.065266,-0.027996,-0.070868,-0.070444,-0.019943,-0.020506,1.049129,0.022476,1.486944,1.037884,1.055828,1.020565,0.979684,0.05093,0.088426,0.033027,1.588534,0.04633,1.042443,0.445491,1.444323,0.997526,0.416527,1.970352,0.043367,0.966742,1.02666,-0.067563
-0.024682,1.051172,1.010426,0.014514,1.085236,0.06484,0.956157,0.065895,0.969238,1.999121,0.000761,2.053652,-0.056463,0.022593,2.026201,0.040576,-0.010519,1.550171,0.964423,1.057353,1.017612,0.929996,0.020396,1.008965,-0.017783,0.963187,-0.01201,0.927892,1.084536,-0.056414,0.966936,1.057245,0.029252,0.036012,1.075835,0.984393,1.947675
0.042213,1.039814,0.983656,-0.063279,1.061958,0.028792,0.931326,0.038998,0.927951,1.975868,0.943835,1.968108,-0.041666,-0.030666,1.036213,1.51473,0.031437,1.054617,0.981365,0.003995,2.026908,1.085337,0.044954,1.069078,0.050948,1.052863,-0.089234,1.044043,0.510646,1.002711,-0.026363,0.478736,0.020809,0.041999,0.925111,1.010905,0.971966
-0.04754,1.019631,0.983564,-0.032952,0.961542,0.014065,0.999498,-0.054582,1.95795,0.990875,1.020257,1.947514,0.024405,-0.0412,1.136387,-0.04705,-0.039506,1.5097,0.954881,2.041382,2.090071,0.980619,0.008639,0.974112,-1e-06,0.071587,0.044712,1.954789,1.077295,1.058103,1.024318,0.467039,2.003285,-0.039773,1.02338,0.984176,-0.111748
0.04631,1.009573,1.053924,0.993191,1.009423,0.055766,0.01939,0.0144,0.16072,-0.00845,0.008459,1.086701,-0.04025,-0.05205,-0.071603,1.526683,0.031282,1.537074,0.932322,1.050293,2.059863,0.995134,0.001628,1.03378,0.018357,1.532098,-0.054304,0.991269,0.939376,0.531564,0.526511,1.495059,2.01484,-0.077826,1.042896,-0.023364,0.006453
0.055768,0.962175,1.059862,0.006204,1.00141,0.027802,0.937649,0.029705,1.003075,1.051814,-0.01084,-0.018166,0.018482,-0.002968,-0.058698,-0.009698,0.063382,-0.004655,0.956477,1.035797,1.907328,0.893987,-0.000208,1.009046,0.01102,1.455361,-0.007525,0.930063,0.510978,-0.080766,1.492538,1.013079,-0.087831,-0.026125,1.039407,1.077448,1.924802
0.016996,0.938203,-0.067263,0.079804,1.033409,-0.04021,1.010951,0.032097,2.009065,2.112364,0.030289,0.850351,-0.01451,-0.036829,1.989793,0.000673,0.967443,0.445754,1.06817,1.029867,1.966463,1.033982,0.033759,1.063365,-0.052766,0.538994,-0.030389,1.057752,0.490378,0.886411,1.501768,-0.089208,-0.010857,-0.00291,0.979935,0.925654,-0.055786
-0.04223,0.987595,2.064425,1.035454,1.97639,0.063694,-0.068403,0.034251,1.991238,2.011816,0.031923,-0.033979,0.040058,-0.000465,1.12059,0.484787,0.063459,1.032355,0.941294,1.068031,0.946979,0.8884,0.042666,0.053448,0.002601,0.486949,0.079184,0.035593,1.467207,0.536577,-0.062165,0.972052,1.947443,-0.110001,0.941135,0.061116,0.945109
-0.027502,0.941951,1.04328,6e-05,1.024537,-0.005284,-0.058551,0.951303,0.041863,0.99713,0.03872,-0.15813,0.055505,-0.024698,0.108643,0.974462,0.001413,1.033019,0.95621,2.043637,1.967739,1.064455,0.03966,1.024782,-0.03621,1.489471,0.014996,-0.101667,-0.027587,0.546904,1.436591,1.563949,0.968584,0.016163,0.942617,1.024219,2.023136
0.056819,1.067704,1.062676,0.010446,0.938692,0.066188,0.934793,-0.021935,1.036855,2.022178,0.079653,-0.000203,-0.084503,-0.013763,1.008703,0.98247,0.070623,1.487619,0.928208,2.023339,0.942616,1.084995,0.013505,0.929836,0.05397,0.618462,-0.100203,2.045154,0.024201,1.508784,0.517166,0.024594,-0.03465,0.070549,1.932524,0.097928,1.076384
-0.059307,0.99973,1.070993,-0.02455,0.99188,-0.020119,2.058374,-0.030384,0.999509,2.027011,-0.01038,-0.043322,-0.067077,-0.075913,1.94101,0.913973,-0.036344,1.515011,1.002705,-0.041332,-0.050901,0.950331,-0.069395,-0.061794,0.035718,0.929769,0.000866,0.969097,0.621397,0.410154,1.009665,0.983312,1.961443,0.015761,1.007779,0.946555,2.021314
0.019458,1.065473,0.969501,0.073522,0.990159,-0.098801,1.026155,-0.00408,0.955882,0.046662,-0.023581,0.050844,-0.004135,0.037516,0.033974,0.523658,-0.051602,0.545986,1.001088,2.100113,0.023933,1.037556,-0.038245,0.979693,0.004836,0.441476,0.941486,0.994571,0.996106,1.010104,1.555855,-0.020017,0.034044,-0.007232,0.990299,1.012853,-0.103386
