Akt,Erk,Jnk,Mek,P38,PIP2,PIP3,PKA,PKC,Plcg,Raf
35.9,16.5,12.3,16.8,8.13,18.6,32.5,352.0,3.37,16.5,61.5
59.4,44.1,14.6,10.2,13.0,14.9,32.5,403.0,11.4,31.9,19.5
73.0,82.8,23.1,13.5,1.29,5.83,11.8,528.0,13.7,28.6,23.1
33.7,19.8,5.19,9.73,24.8,21.1,46.1,305.0,4.66,25.7,81.3
18.8,3.75,17.6,22.1,10.9,11.9,25.7,610.0,13.7,49.1,57.8
44.9,36.5,10.4,132.0,16.3,8.66,17.9,835.0,15.0,35.9,18.1
47.4,15.0,14.6,30.5,17.5,20.2,45.3,466.0,6.44,24.4,20.0
104.0,61.5,10.6,21.1,41.8,11.5,23.5,445.0,29.2,61.0,25.3
21.1,21.5,1.88,205.0,43.7,13.2,135.0,213.0,14.6,26.7,101.0
16.4,16.4,14.5,17.0,11.2,21.9,34.6,449.0,20.4,44.9,24.1
74.3,22.9,7.5,15.5,26.2,20.9,36.5,389.0,31.9,71.0,35.5
85.1,39.6,8.9,64.9,11.7,6.67,12.2,528.0,17.9,44.1,118.0
29.2,24.1,10.2,16.0,46.6,8.82,7.23,500.0,9.73,19.1,7.91
26.2,26.7,21.3,10.9,14.7,9.06,37.9,89.0,40.0,65.5,1.42
39.6,38.2,10.5,92.2,22.7,27.6,31.3,223.0,16.5,30.8,7.64
30.5,19.8,7.5,133.0,15.7,19.1,36.2,319.0,24.1,37.2,17.2
49.1,16.5,13.3,141.0,25.7,31.1,62.1,710.0,14.2,27.4,22.1
38.5,8.9,11.3,85.8,17.9,12.1,35.9,843.0,12.0,28.4,20.9
31.6,17.8,14.5,10.6,4.91,10.2,23.9,276.0,13.8,28.4,12.7
41.0,27.9,1.0,137.0,23.9,30.2,50.0,965.0,1.0,84.3,4.61
70.4,54.2,15.4,24.4,12.9,9.91,27.9,449.0,35.9,93.9,48.3
21.5,1.0,8.28,181.0,43.7,18.8,38.5,644.0,13.6,29.2,7.04
39.2,23.1,18.6,22.1,10.6,17.8,32.2,466.0,10.5,23.3,6.98
69.8,20.4,19.8,18.4,6.26,10.4,25.0,500.0,22.7,48.3,59.4
40.7,24.8,13.0,62.6,38.2,5.14,14.7,673.0,28.1,41.8,23.1
45.7,15.7,13.2,21.3,7.5,23.9,49.1,1382.0,19.5,38.5,20.9
43.7,29.2,14.5,17.6,13.1,8.58,12.5,621.0,34.0,67.9,28.1
79.9,80.6,4.41,209.0,19.5,10.5,35.5,422.0,26.9,40.3,15.3
56.7,17.3,21.7,18.1,12.7,9.22,22.9,552.0,38.5,59.9,17.9
58.8,19.5,2.57,41.4,2.21,19.1,33.7,325.0,22.9,31.9,20.7
53.8,12.7,10.9,12.4,30.8,20.2,37.9,403.0,22.5,38.5,20.9
58.3,23.1,18.9,79.1,24.4,36.2,48.7,429.0,14.7,28.9,12.6
160.0,28.1,7.1,115.0,16.1,4.96,12.4,1241.0,2.46,31.3,83.5
54.7,28.4,8.35,9.39,20.7,38.5,59.9,898.0,12.7,23.7,13.5
85.1,26.9,25.3,47.8,22.9,13.6,14.2,396.0,4.74,8.98,43.3
109.0,43.7,9.47,343.0,60.4,27.1,42.6,319.0,14.9,37.9,17.8
50.5,28.1,27.6,28.9,13.8,14.7,24.8,382.0,15.3,20.0,7.7
69.2,17.8,17.8,62.1,23.1,2.71,13.3,562.0,4.45,20.0,105.0
62.6,19.3,8.51,20.9,39.2,4.49,24.8,474.0,23.5,48.7,22.5
67.9,43.7,11.4,19.3,15.8,17.8,38.5,1433.0,31.9,66.7,40.0
75.0,57.8,4.91,15.4,24.6,21.9,36.2,233.0,21.3,46.1,17.0
50.9,42.2,7.57,122.0,48.3,6.26,36.2,1027.0,12.5,32.8,108.0
79.9,20.4,24.1,22.5,20.0,8.82,24.1,466.0,19.1,34.9,6.15
62.6,21.7,21.9,22.1,3.82,39.2,75.7,1310.0,8.74,22.7,11.7
75.0,30.5,13.6,51.4,42.2,25.3,35.5,466.0,20.4,43.7,10.1
59.4,25.3,11.7,20.7,27.9,3.62,12.4,29.7,17.2,32.5,10.5
181.0,37.9,1.0,292.0,49.6,6.38,13.1,573.0,20.9,38.2,17.6
57.3,19.1,11.1,42.2,6.61,5.83,13.5,547.0,44.9,80.6,71.7
82.8,30.5,13.9,18.6,6.92,23.5,37.5,418.0,6.55,16.7,95.6
35.5,24.6,15.7,35.5,11.9,21.9,45.7,322.0,6.79,23.3,11.9
80.6,27.9,17.9,42.6,17.3,2.84,20.7,188.0,20.7,33.1,17.5
113.0,45.7,10.8,154.0,58.3,13.1,21.5,337.0,5.47,20.0,9.39
35.2,14.1,7.1,20.2,32.2,12.9,22.5,583.0,37.5,47.4,9.47
24.1,12.3,12.7,62.6,26.7,9.14,16.5,547.0,25.7,59.9,80.6
164.0,33.1,5.78,28.6,13.7,16.3,24.1,319.0,22.5,35.5,12.4
57.8,27.1,15.5,57.3,19.5,25.9,34.6,382.0,3.05,27.1,78.4
38.5,12.7,4.37,22.7,23.7,4.22,10.8,578.0,1.86,7.37,3.43
51.4,36.8,12.7,40.3,21.7,12.7,25.9,667.0,2.5,14.9,64.9
26.9,15.1,18.6,20.5,8.43,20.4,38.5,437.0,11.7,24.4,15.4
56.2,21.1,12.7,21.1,57.8,14.1,19.8,474.0,25.9,39.6,75.7
70.4,35.5,18.4,45.7,47.8,18.8,31.6,418.0,10.0,22.3,6.67
58.8,35.2,12.2,16.5,24.1,18.4,33.7,362.0,16.3,19.8,10.4
69.2,35.5,17.3,50.0,19.8,8.51,18.6,151.0,12.0,31.1,27.6
105.0,59.9,20.0,19.6,15.1,6.85,23.1,1065.0,1.67,48.3,4.66
62.1,51.9,13.6,30.2,10.6,14.3,37.9,692.0,6.49,25.0,91.4
75.0,33.4,1.0,31.6,1.0,19.8,27.6,505.0,18.6,31.1,7.64
20.4,15.1,7.99,101.0,35.9,9.14,22.9,400.0,11.7,22.7,6.85
59.9,53.3,11.8,77.7,12.9,11.1,37.9,1407.0,18.8,29.4,16.8
46.6,27.1,12.4,109.0,21.9,21.5,38.2,207.0,11.0,31.3,12.0
31.9,23.9,15.1,12.7,4.61,6.73,15.0,562.0,1.0,68.5,8.2
64.9,23.3,15.3,12.6,9.06,19.6,35.2,806.0,2.37,20.0,7.91
153.0,123.0,12.0,34.6,63.8,8.58,26.2,470.0,1.0,12.0,9.91
71.7,25.5,13.1,12.0,43.3,12.2,31.3,655.0,7.7,16.4,49.1
35.5,23.7,2.89,4.26,12.9,13.0,22.7,470.0,7.77,33.4,16.3
83.5,61.5,13.0,34.6,12.3,3.46,19.5,239.0,2.53,2.69,6.1
31.9,8.82,12.9,154.0,56.7,16.8,16.0,433.0,9.56,48.7,54.2
46.1,25.7,12.7,24.4,37.2,16.8,35.9,375.0,5.47,39.2,95.6
48.7,36.5,18.6,10.6,13.9,6.1,25.9,1009.0,10.2,22.7,15.3
75.7,25.9,21.5,64.4,45.3,8.28,28.4,583.0,15.7,36.8,13.7
58.3,21.9,14.9,18.4,30.2,5.47,17.2,982.0,16.3,21.5,15.5
58.8,34.9,13.3,82.8,38.2,22.5,27.9,379.0,6.55,18.4,48.7
112.0,27.6,28.4,67.9,30.5,10.8,16.7,403.0,17.8,29.7,7.77
66.7,29.2,2.39,10.9,32.2,22.9,32.2,379.0,14.3,30.8,17.6
39.6,23.9,6.61,137.0,20.4,22.7,38.2,313.0,16.1,20.0,10.5
36.5,15.5,2.55,8.35,40.0,15.8,34.6,281.0,21.3,28.6,13.9
41.8,21.3,9.39,7.91,32.5,13.3,61.0,858.0,2.81,17.3,64.4
62.1,18.1,24.8,113.0,25.5,17.0,34.6,604.0,4.26,13.5,72.3
55.7,28.6,25.9,51.9,64.9,7.5,17.6,271.0,2.21,4.45,9.73
84.3,71.7,12.9,93.1,36.5,8.9,17.8,906.0,9.06,25.0,42.2
60.4,25.3,19.1,27.4,44.5,44.5,64.9,1197.0,20.9,49.6,17.5
76.4,32.8,30.0,60.4,49.6,5.47,14.3,87.4,11.1,27.4,7.43
96.5,119.0,15.5,71.0,13.9,19.5,32.2,500.0,50.9,75.0,26.9
38.5,17.8,32.2,115.0,61.0,10.6,21.3,965.0,5.0,20.4,34.9
112.0,79.1,7.37,15.0,35.9,10.6,32.2,382.0,14.9,31.1,12.0
47.0,22.3,12.2,73.0,24.1,3.49,11.4,340.0,5.62,13.9,93.9
87.4,54.7,19.6,8.58,24.8,15.8,33.1,757.0,24.6,40.7,25.0
57.8,19.1,22.9,19.1,11.3,18.8,57.3,743.0,8.66,8.35,24.4
92.2,31.1,18.9,22.3,34.3,13.6,29.4,385.0,7.23,17.6,7.99
107.0,36.8,16.0,38.9,29.2,18.8,28.1,276.0,1.83,25.5,97.3
80.6,56.7,16.1,27.6,4.03,5.28,5.88,491.0,3.52,5.57,24.4
44.9,25.3,1.0,158.0,12.3,14.2,26.2,514.0,6.55,16.1,33.7
27.4,18.8,9.65,13.2,9.73,18.6,54.7,286.0,1.88,19.8,88.2
31.6,25.7,24.6,35.2,25.7,14.1,25.7,284.0,20.4,28.4,48.3
52.3,33.4,8.13,25.5,5.73,30.5,42.9,305.0,34.9,68.5,20.4
71.7,27.4,8.82,18.3,23.1,14.1,27.4,649.0,3.82,20.2,53.8
44.5,26.9,15.5,87.4,12.5,4.53,16.0,379.0,3.68,32.5,77.0
74.3,27.4,16.4,22.7,2.0,6.26,15.1,457.0,13.6,24.6,6.55
44.1,20.2,13.9,17.8,39.2,22.3,30.2,487.0,30.5,40.0,23.7
42.9,22.9,17.3,17.8,21.9,13.1,36.8,710.0,12.6,24.4,65.5
79.1,26.4,1.19,3.96,41.4,8.06,20.4,509.0,3.68,16.0,63.2
63.2,27.4,14.5,80.6,41.0,15.1,38.2,453.0,13.6,32.8,13.1
27.9,20.7,25.3,70.4,42.2,6.98,21.3,313.0,24.8,44.5,23.1
69.8,22.9,19.3,17.5,9.73,20.7,28.1,255.0,13.0,25.3,9.73
28.9,15.7,22.7,37.9,49.1,13.0,23.5,509.0,22.1,53.8,35.9
102.0,30.8,7.17,82.0,49.1,20.2,25.0,343.0,3.96,26.9,87.4
59.4,25.3,14.9,61.5,26.2,22.5,36.5,239.0,2.74,14.5,77.7
89.8,31.3,18.8,22.5,8.74,25.0,37.5,426.0,29.7,60.4,24.1
200.0,33.1,19.5,56.2,16.1,21.7,35.5,305.0,4.26,14.2,95.6
46.1,23.7,17.9,276.0,41.4,15.0,19.5,334.0,16.7,31.6,11.8
149.0,85.1,8.43,7.99,17.8,29.2,69.2,1208.0,26.4,46.6,30.0
