protein,Raf,Mek,Plcg,PIP2,PIP3,Erk,Akt,PKA,PKC,P38,Jnk
Raf,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Mek,1.038563096126535967e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.134152827009228481e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Plcg,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.517987894902984136e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.510026653659098939e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PIP2,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.115990265352348021e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PIP3,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.528095186918621451e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.350413102571769386e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Erk,3.277023174495156121e-01,-4.240139430763089079e-01,0.000000000000000000e+00,4.703769786662365671e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.308540359592786029e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Akt,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.857706431987379392e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.023454157156506561e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PKA,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PKC,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.832378787957116950e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.747033451356670763e+00,0.000000000000000000e+00,1.233665090967870359e+00,-3.241859848978660419e-01
P38,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.225132827966933124e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.185433390367430340e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.321845190149770088e-01
Jnk,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.952720825214407818e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
