protein,Raf,Mek,Plcg,PIP2,PIP3,Erk,Akt,PKA,PKC,P38,Jnk
Raf,0.000000000000000000e+00,1.476070491660305795e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.619575570302494105e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Mek,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.897324264760068435e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Plcg,3.038571017589923318e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.649666177726287319e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.640968312019332576e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PIP2,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PIP3,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.221485999299456005e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Erk,-1.371952812030810431e+00,0.000000000000000000e+00,-6.899763423795164385e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.849534043388973981e+00,4.347315167545539261e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.932590576768024704e-01
Akt,6.734563840750965591e-01,0.000000000000000000e+00,5.098287295578274314e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.165168969531211296e-01
PKA,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PKC,-3.286878860112772971e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.281975741134772084e-01,8.214692895198110190e-01,0.000000000000000000e+00,4.945657461544302080e+00,1.770745009794699731e+00
P38,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Jnk,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
