protein,Raf,Mek,Plcg,PIP2,PIP3,Erk,Akt,PKA,PKC,P38,Jnk
Raf,0.000000000000000000e+00,1.433561979615008086e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Mek,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Plcg,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.689880681799677653e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.034115608925669783e+00,0.000000000000000000e+00,5.329806660461358092e-01,0.000000000000000000e+00
PIP2,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PIP3,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.721785789325473104e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.283786194488100829e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Erk,-2.325784657148177725e+00,-6.202696266343680209e-01,-5.833643584460914688e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.665662275962088268e+00,8.902427473970476512e+00,0.000000000000000000e+00,-3.360166911243269161e-01,0.000000000000000000e+00
Akt,1.062021440721024002e+00,3.215781882047248352e-01,4.724452839023952078e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.432614796806030100e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PKA,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PKC,-4.064547903291271247e-01,0.000000000000000000e+00,5.597931387144717830e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.292626862279009359e-01,7.533601382815896530e-01,0.000000000000000000e+00,3.287090800592817441e+00,1.637934546015259674e+00
P38,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.918698593686230414e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Jnk,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.220424864676695309e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
