protein,Raf,Mek,Plcg,PIP2,PIP3,Erk,Akt,PKA,PKC,P38,Jnk
Raf,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.709712118414847160e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.584034532824682984e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.452638001150212577e-01
Mek,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.877184509519195021e+00,5.434876545683658966e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.428447591511211812e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.333868047316282723e+00
Plcg,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.240980950912380365e+00,2.312519326814723275e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.172455966456829479e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.157298580330692772e+00
PIP2,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.478453573898003803e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PIP3,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.816924342648468027e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.308547146528228566e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Erk,1.099646805931325355e+00,0.000000000000000000e+00,1.164053589918762510e+00,8.333857470412251445e+00,3.514317935316206842e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.384764391090307178e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.377444949014059450e+00
Akt,4.606111084833368063e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.468356396871422387e+00,2.005946365792846464e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.885883799598845911e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.170250261199844877e-01
PKA,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PKC,1.242129077161541417e+00,0.000000000000000000e+00,1.539017111903093760e+00,4.170062033869035290e+00,2.967560696863960068e+00,1.164341031483663524e+00,1.218151756381531392e+00,7.013096528827271747e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.220445043943855090e+01
P38,4.083475462505091191e-01,0.000000000000000000e+00,1.122055693258017017e+00,3.711499320648844691e+00,1.240444931273140927e+00,0.000000000000000000e+00,4.917719391674378326e-01,1.645546085367872635e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.967052854164456299e+00
Jnk,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.874356682288413900e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.502428735708299268e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
