protein,Raf,Mek,Plcg,PIP2,PIP3,Erk,Akt,PKA,PKC,P38,Jnk
Raf,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520383667695227370e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.014000236684321266e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.510736056818007378e-01
Mek,3.383667531618421709e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.317771365646801751e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.895137630328911804e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.163331259810400198e+00
Plcg,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.683195259471292005e+00,5.100463733491920060e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.704764431405101810e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.753923062227968677e-01
PIP2,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.852805258039136760e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PIP3,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.291153889485613160e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.396818912351811548e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Erk,5.229185411117498461e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.037335283125136343e+00,8.117963997099657547e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.374138790588646941e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.712749430345599011e-01
Akt,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.403956703549423146e+00,5.284192178398366968e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.697185142715488482e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.055680880290439605e-01
PKA,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
PKC,6.736466696332243931e-01,0.000000000000000000e+00,4.526196204073805185e-01,4.611187280246334730e+00,1.014163460708405351e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.176632513816229952e+01,0.000000000000000000e+00,5.049325124790678965e-01,7.133234106055024171e+00
P38,8.267798300778788079e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.983057261264944859e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.316587292839185075e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.518430816155361018e+00
Jnk,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.865302894909795173e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.573283897999563585e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
