,Erk,Akt,PKA,Mek,Jnk,PKC,Raf,P38,PIP3,PIP2,Plcg
Erk,0.0,0.0,0.12284477800130844,0.1557541787624359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akt,0.8102295398712158,0.0,0.0,0.13076411187648773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PKA,0.11608772724866867,0.28889986872673035,0.0,0.17671360075473785,0.36237287521362305,0.0,0.12380056828260422,0.35620465874671936,0.0,0.0,0.0
Mek,0.0,0.23391304910182953,0.2225395292043686,0.0,0.0,0.0,0.1537676602602005,0.0,0.0,0.0,0.0
Jnk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PKC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14239346981048584,0.0,0.0,0.0
Raf,0.0,0.0,0.2543979585170746,0.22483183443546295,0.0,0.40856483578681946,0.0,0.0,0.0,0.0,0.0
P38,0.0,0.0,0.0,0.0,0.0,0.12631790339946747,0.0,0.0,0.0,0.0,0.0
PIP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plcg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0523401498794556,0.0
